trip_id,date,entry_station,exit_station,passenger_type,duration_min,peak_hour,fare
1,2025-01-01,S20,S39,R,95,False,950.0
2,2025-01-01,S41,S32,S,45,True,216.0
3,2025-01-01,S28,S40,SC,60,False,300.0
4,2025-01-01,S7,S46,R,195,False,1950.0
5,2025-01-01,S3,S12,S,45,False,180.0
6,2025-01-01,S1,S13,S,60,True,288.0
7,2025-01-01,S42,S16,SC,130,True,780.0
8,2025-01-01,S20,S34,R,70,False,700.0
9,2025-01-01,S2,S44,SC,210,False,1050.0
10,2025-01-01,S20,S26,SC,30,True,180.0
11,2025-01-01,S45,S36,R,45,True,540.0
12,2025-01-01,S14,S23,SC,45,False,225.0
13,2025-01-01,S31,S15,R,80,False,800.0
14,2025-01-01,S7,S33,SC,130,True,780.0
15,2025-01-01,S33,S15,SC,90,False,450.0
16,2025-01-01,S17,S7,SC,50,True,300.0
17,2025-01-01,S22,S28,SC,30,False,150.0
18,2025-01-01,S44,S11,SC,165,False,825.0
19,2025-01-01,S22,S38,SC,80,True,480.0
20,2025-01-01,S23,S44,R,105,False,1050.0
21,2025-01-01,S33,S37,S,20,False,80.0
22,2025-01-01,S27,S38,S,55,False,220.0
23,2025-01-01,S40,S18,SC,110,True,660.0
24,2025-01-01,S36,S24,SC,60,False,300.0
25,2025-01-01,S43,S39,R,20,False,200.0
26,2025-01-01,S33,S22,S,55,True,264.0
27,2025-01-01,S28,S32,SC,20,True,120.0
28,2025-01-01,S1,S28,R,135,False,1350.0
29,2025-01-01,S33,S25,SC,40,False,200.0
30,2025-01-01,S26,S15,S,55,False,220.0
31,2025-01-01,S7,S22,S,75,False,300.0
32,2025-01-01,S8,S5,R,15,True,180.0
33,2025-01-01,S10,S49,SC,195,False,975.0
34,2025-01-01,S7,S32,SC,125,True,750.0
35,2025-01-01,S16,S33,R,85,False,850.0
36,2025-01-01,S3,S35,SC,160,True,960.0
37,2025-01-01,S3,S41,S,190,False,760.0
38,2025-01-01,S15,S17,SC,10,True,60.0
39,2025-01-01,S24,S7,SC,85,False,425.0
40,2025-01-01,S46,S24,SC,110,False,550.0
41,2025-01-01,S25,S22,SC,15,False,75.0
42,2025-01-01,S36,S32,R,20,True,240.0
43,2025-01-01,S4,S50,SC,230,False,1150.0
44,2025-01-01,S10,S22,S,60,True,288.0
45,2025-01-01,S18,S50,SC,160,False,800.0
46,2025-01-01,S5,S44,R,195,True,2340.0
47,2025-01-01,S30,S36,SC,30,True,180.0
48,2025-01-01,S17,S8,R,45,True,540.0
49,2025-01-01,S34,S9,S,125,True,600.0
50,2025-01-01,S37,S11,S,130,False,520.0
51,2025-01-02,S26,S43,S,85,True,408.0
52,2025-01-02,S1,S10,SC,45,False,225.0
53,2025-01-02,S30,S33,R,15,False,150.0
54,2025-01-02,S5,S3,R,10,False,100.0
55,2025-01-02,S2,S42,SC,200,True,1200.0
56,2025-01-02,S14,S19,R,25,True,300.0
57,2025-01-02,S4,S36,S,160,True,768.0
58,2025-01-02,S13,S38,SC,125,False,625.0
59,2025-01-02,S1,S37,R,180,True,2160.0
60,2025-01-02,S21,S22,R,5,True,60.0
61,2025-01-02,S30,S22,R,40,True,480.0
62,2025-01-02,S46,S4,SC,210,False,1050.0
63,2025-01-02,S10,S14,R,20,False,200.0
64,2025-01-02,S36,S7,SC,145,False,725.0
65,2025-01-02,S42,S48,S,30,True,144.0
66,2025-01-02,S49,S25,R,120,True,1440.0
67,2025-01-02,S43,S34,SC,45,False,225.0
68,2025-01-02,S18,S49,S,155,False,620.0
69,2025-01-02,S49,S27,R,110,True,1320.0
70,2025-01-02,S17,S16,R,5,False,50.0
71,2025-01-02,S32,S4,S,140,True,672.0
72,2025-01-02,S48,S25,R,115,False,1150.0
73,2025-01-02,S8,S48,SC,200,False,1000.0
74,2025-01-02,S24,S29,S,25,False,100.0
75,2025-01-02,S46,S6,R,200,True,2400.0
76,2025-01-02,S4,S5,S,5,True,24.0
77,2025-01-02,S17,S20,R,15,True,180.0
78,2025-01-02,S29,S7,SC,110,True,660.0
79,2025-01-02,S4,S14,S,50,False,200.0
80,2025-01-02,S1,S29,S,140,False,560.0
81,2025-01-02,S35,S11,R,120,False,1200.0
82,2025-01-02,S17,S1,R,80,False,800.0
83,2025-01-02,S18,S2,R,80,False,800.0
84,2025-01-02,S18,S48,R,150,True,1800.0
85,2025-01-02,S30,S6,SC,120,True,720.0
86,2025-01-02,S12,S33,S,105,True,504.0
87,2025-01-02,S23,S18,R,25,True,300.0
88,2025-01-02,S21,S38,S,85,False,340.0
89,2025-01-02,S30,S48,S,90,True,432.0
90,2025-01-02,S31,S14,S,85,True,408.0
91,2025-01-02,S21,S47,S,130,True,624.0
92,2025-01-02,S41,S40,R,5,True,60.0
93,2025-01-02,S31,S16,S,75,True,360.0
94,2025-01-02,S11,S4,R,35,False,350.0
95,2025-01-02,S41,S32,S,45,True,216.0
96,2025-01-02,S44,S34,R,50,False,500.0
97,2025-01-02,S36,S44,S,40,False,160.0
98,2025-01-02,S29,S33,S,20,False,80.0
99,2025-01-02,S34,S13,SC,105,True,630.0
100,2025-01-02,S32,S14,SC,90,False,450.0
101,2025-01-03,S44,S29,SC,75,False,375.0
102,2025-01-03,S2,S12,SC,50,False,250.0
103,2025-01-03,S2,S42,SC,200,True,1200.0
104,2025-01-03,S27,S44,R,85,False,850.0
105,2025-01-03,S2,S24,S,110,True,528.0
106,2025-01-03,S6,S10,S,20,False,80.0
107,2025-01-03,S10,S49,SC,195,True,1170.0
108,2025-01-03,S41,S37,S,20,True,96.0
109,2025-01-03,S23,S47,R,120,True,1440.0
110,2025-01-03,S34,S4,SC,150,True,900.0
111,2025-01-03,S22,S43,S,105,True,504.0
112,2025-01-03,S27,S14,S,65,False,260.0
113,2025-01-03,S41,S8,S,165,True,792.0
114,2025-01-03,S28,S15,R,65,True,780.0
115,2025-01-03,S4,S28,SC,120,True,720.0
116,2025-01-03,S23,S50,S,135,False,540.0
117,2025-01-03,S42,S37,R,25,True,300.0
118,2025-01-03,S13,S31,R,90,False,900.0
119,2025-01-03,S26,S14,SC,60,False,300.0
120,2025-01-03,S2,S17,R,75,True,900.0
121,2025-01-03,S2,S14,SC,60,False,300.0
122,2025-01-03,S2,S25,S,115,False,460.0
123,2025-01-03,S26,S29,R,15,False,150.0
124,2025-01-03,S48,S12,S,180,False,720.0
125,2025-01-03,S49,S20,SC,145,True,870.0
126,2025-01-03,S49,S13,S,180,False,720.0
127,2025-01-03,S8,S6,S,10,True,48.0
128,2025-01-03,S31,S46,SC,75,False,375.0
129,2025-01-03,S13,S43,R,150,True,1800.0
130,2025-01-03,S21,S45,R,120,True,1440.0
131,2025-01-03,S20,S41,SC,105,True,630.0
132,2025-01-03,S45,S9,S,180,False,720.0
